mos_case_id,case_id,case_type,speechgender,item_name,mos_select_score,speech_score_grpo_face_style,sel_grpo_face_style_gender_match,sel_grpo_face_style_pitch_match,sel_grpo_face_style_energy_match,sel_grpo_face_style_tempo_match,sel_grpo_face_style_emotion_match,sel_grpo_face_style_consistency,speech_score_face_style,sel_face_style_gender_match,sel_face_style_pitch_match,sel_face_style_energy_match,sel_face_style_tempo_match,sel_face_style_emotion_match,sel_face_style_consistency,speech_score_face_style_0_5,sel_face_style_0_5_gender_match,sel_face_style_0_5_pitch_match,sel_face_style_0_5_energy_match,sel_face_style_0_5_tempo_match,sel_face_style_0_5_emotion_match,sel_face_style_0_5_consistency,speech_score_onlystyle,sel_onlystyle_gender_match,sel_onlystyle_pitch_match,sel_onlystyle_energy_match,sel_onlystyle_tempo_match,sel_onlystyle_emotion_match,sel_onlystyle_consistency,speech_score_onlyface,sel_onlyface_gender_match,sel_onlyface_pitch_match,sel_onlyface_energy_match,sel_onlyface_tempo_match,sel_onlyface_emotion_match,sel_onlyface_consistency
case_01_F,easy_0255_pIYdfEbwsqI_00_11_39_94,easy,F,pIYdfEbwsqI_00_11_39_94,5.910728459556898,5.517656981945038,1,1,1,1,1,0.5176569819450378,5.590660512447357,1,1,1,1,1,0.5906605124473572,5.572592437267304,1,1,1,1,1,0.5725924372673035,5.437440574169159,1,1,1,1,1,0.4374405741691589,4.621553897857666,1,1,0,1,1,0.621553897857666
case_02_F,easy_0280_GdQkyQrQawM_00_06_28_07,easy,F,GdQkyQrQawM_00_06_28_07,5.896587990721067,5.356791317462921,1,1,1,1,1,0.3567913174629211,5.361379355192184,1,1,1,1,1,0.3613793551921844,5.360512733459473,1,1,1,1,1,0.3605127334594726,5.380997538566589,1,1,1,1,1,0.3809975385665893,5.410603195428848,1,1,1,1,1,0.4106031954288482
case_03_F,easy_0256_qUwE8TRhOk8_00_10_30_99,easy,F,qUwE8TRhOk8_00_10_30_99,5.742795336246491,5.40575122833252,1,1,1,1,1,0.4057512283325195,5.431880295276642,1,1,1,1,1,0.4318802952766418,5.43415167927742,1,1,1,1,1,0.43415167927742,5.4207703769207,1,1,1,1,1,0.4207703769207001,4.5142340660095215,1,1,0,1,1,0.5142340660095215
case_04_F,easy_0015_2--6XzUxGBI_00_22_19_92,easy,F,2--6XzUxGBI_00_22_19_92,5.738368627925714,5.48609784245491,1,1,1,1,1,0.4860978424549103,5.470178157091141,1,1,1,1,1,0.4701781570911407,5.453687429428101,1,1,1,1,1,0.4536874294281006,4.340442627668381,1,1,1,0,1,0.3404426276683807,5.667148113250732,1,1,1,1,1,0.6671481132507324
case_05_F,easy_0086_53nShLQ1ewA_00_08_31_85,easy,F,53nShLQ1ewA_00_08_31_85,5.505329058567683,5.661265134811401,1,1,1,1,1,0.6612651348114014,4.582126677036285,1,1,0,1,1,0.5821266770362854,4.572797060012817,1,1,0,1,1,0.5727970600128174,5.557351350784302,1,1,1,1,1,0.5573513507843018,4.493190318346024,1,0,1,1,1,0.4931903183460235
case_06_F,hard_0219_4qkpjw5homQ_00_00_27_37,hard,F,4qkpjw5homQ_00_00_27_37,6.042775342861812,5.445354700088501,1,1,1,1,1,0.445354700088501,5.541961669921875,1,1,1,1,1,0.541961669921875,5.552932024002075,1,1,1,1,1,0.5529320240020752,5.216200917959213,1,1,1,1,1,0.2162009179592132,5.567400693893433,1,1,1,1,1,0.5674006938934326
case_07_F,hard_0036_2OWduVCiOZ4_00_00_39_25,hard,F,2OWduVCiOZ4_00_00_39_25,5.92945889979601,5.448444753885269,1,1,1,1,1,0.4484447538852691,5.391681879758835,1,1,1,1,1,0.3916818797588348,5.351059198379517,1,1,1,1,1,0.3510591983795166,5.361782759428024,1,1,1,1,1,0.3617827594280243,5.533769965171814,1,1,1,1,1,0.533769965171814
case_08_F,hard_0038_2qHsdAYa7qQ_00_01_58_84,hard,F,2qHsdAYa7qQ_00_01_58_84,5.902525169650714,5.46488744020462,1,1,1,1,1,0.4648874402046203,5.543639898300171,1,1,1,1,1,0.5436398983001709,5.522103130817413,1,1,1,1,1,0.5221031308174133,5.557099342346191,1,1,1,1,1,0.5570993423461914,4.510453402996063,1,1,1,0,1,0.5104534029960632
case_09_F,hard_0279_AViL1gDtfpU_00_08_22_19,hard,F,AViL1gDtfpU_00_08_22_19,5.816995383302371,5.634687960147858,1,1,1,1,1,0.6346879601478577,4.641358315944672,1,1,1,0,1,0.6413583159446716,4.6386184096336365,1,1,1,0,1,0.6386184096336365,5.436894983053207,1,1,1,1,1,0.4368949830532074,5.606723964214325,1,1,1,1,1,0.606723964214325
case_10_F,hard_0268_9OXlZUfbsPI_00_13_12_24,hard,F,9OXlZUfbsPI_00_13_12_24,5.794363174339136,5.450278550386429,1,1,1,1,1,0.4502785503864288,5.424292951822281,1,1,1,1,1,0.4242929518222809,5.412702858448029,1,1,1,1,1,0.4127028584480285,5.253227204084396,1,1,1,1,1,0.2532272040843963,4.70179945230484,1,1,1,1,0,0.7017994523048401
